raw_feature,standardized_feature,transform,missing_rate,target_sensitive_supply_feature,model_role,use_in_first_optimization
bakery_tmzon_17_21_selng_amt,z__bakery_tmzon_17_21_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_21_24_selng_amt,z__bakery_tmzon_21_24_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_ml_selng_amt,z__bakery_ml_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_fml_selng_amt,z__bakery_fml_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_10_selng_amt,z__bakery_agrde_10_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_20_selng_amt,z__bakery_agrde_20_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_30_selng_amt,z__bakery_agrde_30_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_40_selng_amt,z__bakery_agrde_40_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_50_selng_amt,z__bakery_agrde_50_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_agrde_60_above_selng_amt,z__bakery_agrde_60_above_selng_amt,log1p,0.737576,False,A_customer_context,True
bakery_mdwk_selng_co,z__bakery_mdwk_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_wkend_selng_co,z__bakery_wkend_selng_co,log1p,0.737576,False,hold_for_ablation,False
bakery_mon_selng_co,z__bakery_mon_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tues_selng_co,z__bakery_tues_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_wed_selng_co,z__bakery_wed_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_thur_selng_co,z__bakery_thur_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_fri_selng_co,z__bakery_fri_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_sat_selng_co,z__bakery_sat_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_sun_selng_co,z__bakery_sun_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_00_06_selng_co,z__bakery_tmzon_00_06_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_06_11_selng_co,z__bakery_tmzon_06_11_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_11_14_selng_co,z__bakery_tmzon_11_14_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_14_17_selng_co,z__bakery_tmzon_14_17_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_17_21_selng_co,z__bakery_tmzon_17_21_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_tmzon_21_24_selng_co,z__bakery_tmzon_21_24_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_ml_selng_co,z__bakery_ml_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_fml_selng_co,z__bakery_fml_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_10_selng_co,z__bakery_agrde_10_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_20_selng_co,z__bakery_agrde_20_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_30_selng_co,z__bakery_agrde_30_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_40_selng_co,z__bakery_agrde_40_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_50_selng_co,z__bakery_agrde_50_selng_co,log1p,0.737576,False,A_customer_context,True
bakery_agrde_60_above_selng_co,z__bakery_agrde_60_above_selng_co,log1p,0.737576,False,A_customer_context,True
coffee_thsmon_selng_amt,z__coffee_thsmon_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_thsmon_selng_co,z__coffee_thsmon_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_mdwk_selng_amt,z__coffee_mdwk_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_wkend_selng_amt,z__coffee_wkend_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_mon_selng_amt,z__coffee_mon_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tues_selng_amt,z__coffee_tues_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_wed_selng_amt,z__coffee_wed_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_thur_selng_amt,z__coffee_thur_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_fri_selng_amt,z__coffee_fri_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_sat_selng_amt,z__coffee_sat_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_sun_selng_amt,z__coffee_sun_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_00_06_selng_amt,z__coffee_tmzon_00_06_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_06_11_selng_amt,z__coffee_tmzon_06_11_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_11_14_selng_amt,z__coffee_tmzon_11_14_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_14_17_selng_amt,z__coffee_tmzon_14_17_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_17_21_selng_amt,z__coffee_tmzon_17_21_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_21_24_selng_amt,z__coffee_tmzon_21_24_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_ml_selng_amt,z__coffee_ml_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_fml_selng_amt,z__coffee_fml_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_10_selng_amt,z__coffee_agrde_10_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_20_selng_amt,z__coffee_agrde_20_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_30_selng_amt,z__coffee_agrde_30_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_40_selng_amt,z__coffee_agrde_40_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_50_selng_amt,z__coffee_agrde_50_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_60_above_selng_amt,z__coffee_agrde_60_above_selng_amt,log1p,0.355152,False,hold_for_ablation,False
coffee_mdwk_selng_co,z__coffee_mdwk_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_wkend_selng_co,z__coffee_wkend_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_mon_selng_co,z__coffee_mon_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tues_selng_co,z__coffee_tues_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_wed_selng_co,z__coffee_wed_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_thur_selng_co,z__coffee_thur_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_fri_selng_co,z__coffee_fri_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_sat_selng_co,z__coffee_sat_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_sun_selng_co,z__coffee_sun_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_00_06_selng_co,z__coffee_tmzon_00_06_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_06_11_selng_co,z__coffee_tmzon_06_11_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_11_14_selng_co,z__coffee_tmzon_11_14_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_14_17_selng_co,z__coffee_tmzon_14_17_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_17_21_selng_co,z__coffee_tmzon_17_21_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_tmzon_21_24_selng_co,z__coffee_tmzon_21_24_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_ml_selng_co,z__coffee_ml_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_fml_selng_co,z__coffee_fml_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_10_selng_co,z__coffee_agrde_10_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_20_selng_co,z__coffee_agrde_20_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_30_selng_co,z__coffee_agrde_30_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_40_selng_co,z__coffee_agrde_40_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_50_selng_co,z__coffee_agrde_50_selng_co,log1p,0.355152,False,hold_for_ablation,False
coffee_agrde_60_above_selng_co,z__coffee_agrde_60_above_selng_co,log1p,0.355152,False,hold_for_ablation,False
bakery_avg_ticket,z__bakery_avg_ticket,log1p,0.737576,False,D_market_support,True
bakery_sales_per_store,z__bakery_sales_per_store,log1p,0.74,True,C_recompute_before_use,False
bakery_txn_per_store,z__bakery_txn_per_store,log1p,0.74,True,C_recompute_before_use,False
bakery_franchise_store_share,z__bakery_franchise_store_share,identity,0.285455,True,C_recompute_before_use,False
coffee_avg_ticket,z__coffee_avg_ticket,log1p,0.355152,False,hold_for_ablation,False
coffee_sales_per_store,z__coffee_sales_per_store,log1p,0.35697,False,C_safe_competition,True
bakery_to_coffee_sales_ratio,z__bakery_to_coffee_sales_ratio,identity,0.750909,False,hold_for_ablation,False
bakery_female_share_amt,z__bakery_female_share_amt,identity,0.737576,False,hold_for_ablation,False
bakery_male_share_amt,z__bakery_male_share_amt,identity,0.737576,False,hold_for_ablation,False
bakery_weekend_share_amt,z__bakery_weekend_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_10_share_amt,z__bakery_age_10_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_20_share_amt,z__bakery_age_20_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_30_share_amt,z__bakery_age_30_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_40_share_amt,z__bakery_age_40_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_50_share_amt,z__bakery_age_50_share_amt,identity,0.737576,False,A_customer_context,True
bakery_age_60_above_share_amt,z__bakery_age_60_above_share_amt,identity,0.737576,False,A_customer_context,True
bakery_weekend_share_cnt,z__bakery_weekend_share_cnt,identity,0.737576,False,A_customer_context,True
bakery_count_250m,z__bakery_count_250m,log1p,0.0,False,hold_for_ablation,False
bakery_count_500m,z__bakery_count_500m,log1p,0.0,False,hold_for_ablation,False
bakery_count_1000m,z__bakery_count_1000m,log1p,0.0,False,hold_for_ablation,False
bakery_nearest_distance_m,z__bakery_nearest_distance_m,log1p,0.0,True,C_recompute_before_use,False
bakery_exp_decay_pressure_300m,z__bakery_exp_decay_pressure_300m,log1p,0.0,True,C_recompute_before_use,False
cafe_nearest_distance_m,z__cafe_nearest_distance_m,log1p,0.0,False,C_safe_competition,True
cafe_exp_decay_pressure_300m,z__cafe_exp_decay_pressure_300m,log1p,0.0,False,C_safe_competition,True
rice_cake_nearest_distance_m,z__rice_cake_nearest_distance_m,log1p,0.0,False,hold_for_ablation,False
rice_cake_exp_decay_pressure_300m,z__rice_cake_exp_decay_pressure_300m,log1p,0.0,False,hold_for_ablation,False
bakery_density_500m_per_km2,z__bakery_density_500m_per_km2,log1p,0.0,True,C_recompute_before_use,False
bakery_share_relevant_food_500m,z__bakery_share_relevant_food_500m,identity,0.000606,False,hold_for_ablation,False
bakery_to_cafe_count_ratio_500m,z__bakery_to_cafe_count_ratio_500m,identity,0.0,False,hold_for_ablation,False
